no.	SMARTS	Toxicity	Accuracy	Fisher P
542	O(c1cc(c(OCC)c2ccccc12))CC	0	1.000	1
543	P(Oc1ccc(c(c1)C))(OCC)NC(C)C	0	1.000	1
544	C(OCCC[Si](OCC)(OCC)OCC)C	0	1.000	1
545	O=C(OCC)C(C(=O)OCC)(C(=O)OCC)	0	1.000	1
546	O=C(O)c1ccc(cc1[N+](=O)[O-])C(=O)CC	0	1.000	1
547	O=C(OCCN(C)Cc1ccccc1)C=C	0	1.000	1
548	OCCN(c1cc(ccc1OC)Cl)CC	0	1.000	1
549	C(O)CN(CCO)CCN(CCO)CC	0	1.000	1
550	O=C(OCCCOC(=O)c1ccccc1)	0	1.000	1
551	O=C(O)CC1C(C(=O))CC(C(=O)O)C1C	0	1.000	1
552	O=CC1=C(O)c2c(ccs2)S(=O)(=O)N1C	0	1.000	1
553	O=C(N)NC(C(=O))Cc1cccc(O)c1	0	1.000	1
554	O=C(NC1=NN(C(=O)C1))c2ccccc2	0	1.000	1
555	C(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C	0	1.000	1
556	O=C(OCc1ccccc1)C=CC(=O)O	0	1.000	1
557	O=S(=O)(O)CCCOc1ccc(cc1N)	0	1.000	1
558	O=S(=O)(C(F)(F)C(F)(F)OC(=C(F)F)F)	0	1.000	1
559	CC(F)C(F)(F)C(F)(F)OC(=C(F)F)F	0	1.000	1
560	Cc1c(nn(c1Oc2ccccc2)C)C	0	1.000	1
561	Cc1nc(nc(c1)C)Nc2ccccc2	0	1.000	1
562	OCc1nccc(OCCCOC)c1C	0	1.000	1
563	O(c1ccc(c(c1))SC)P(=S)(OC)OC	0	1.000	1
564	O(c1ccc(cc1)P(c2ccccc2))C	0	1.000	1
565	n1c(OP(OC)OC)c(cc(c1Cl)Cl)Cl	0	1.000	1
566	C(OCC)CNc1cc(ccc1[N+](=O)[O-])	0	1.000	1
567	n1ccccc1C(c2ccccc2)CC	0	1.000	1
568	CC(Nc1ccc(cc1)C(F)(F)F)CC	0	1.000	1
569	O=C(NC(C)(C)C(C))C(c1ccc(cc1))	0	1.000	1
570	OC1(C)C(=CC2(OCCO2)CC1(C)C)C	0	1.000	1
571	c1cccc(c1)S(=O)(=O)OCC(C)(C)C	0	1.000	1
572	C(OCC(C)C)CCCCOCC(C)C	0	1.000	1
573	O=C(Nc1cccc(NC(=O)C)c1O)C	0	1.000	1
574	O=C(Nc1cc(ccc1O)C(C)(C)C)C	0	1.000	1
575	O=C(NCCc1c[nH]c2ccccc12)C	0	1.000	1
576	O=C(OCCOCCOC(=O)C(=C))C(=C)	0	1.000	1
577	O=C(OC1CC(NC(C)(C)C1)(C)C)C(=C)	0	1.000	1
578	SCCC[Si](OCC)(OCC)OCC	0	1.000	1
579	O=C(OCC)CNC(=O)CCCCS	0	1.000	1
580	O(c1cccc(c1)CN2CCCCC2)	0	1.000	1
581	C(O)c1ccc2C=Cc3cccc1c23	0	1.000	1
582	C(O)CN(CC)CCCN(CCO)C	0	1.000	1
583	O=C(OCCOCCCCO)C(=C)C	0	1.000	1
584	C(O)CCC(=O)OC(C)CCNCC	0	1.000	1
585	O=CC(CNCc1ccccc1)C(O)	0	1.000	1
586	Nc1ccc(cc1)C(O)CNC(C)C	0	1.000	1
587	O=C(O)Cc1ccc(cc1)NC(=O)C	0	1.000	1
588	C(NS(=O)(=O)c1ccccc1)C(=O)O	0	1.000	1
589	O=C(O)CCS(=O)(=O)c1cccc(c1)	0	1.000	1
590	O=C(O)C(OCc1ccc(cc1))(C)C	0	1.000	1
591	CCC(C(=O)OCC)(C(=O))CCC(=O)	0	1.000	1
592	O=CC1(N2CCCCC2)CCNCC1	0	1.000	1
593	c1ccc(cc1)C(=O)C2CCCCC2	0	1.000	1
594	O=C(OC(C)(C)C)Cc1ccccc1	0	1.000	1
595	O=C(OC(C)(C)C)C1CC2C=CC1C2	0	1.000	1
596	c1ccccc1c2nc(nc(n2)N)N	0	1.000	1
597	Cc1cc(ccc1N)N2CCNCC2	0	1.000	1
598	c1cc(ccc1C(F)(F)F)C(F)(F)F	0	1.000	1
599	O=C(N(CC(O)c1ccc(cc1)))CCl	0	1.000	1
600	O=S(=O)(c1ccc(cc1)C)CS(=O)(=O)	0	1.000	1
601	O=C(NCCNC(=O)CSC)CSC	0	1.000	1
602	O=Cc1cc(OC)c(OC)cc1OC	0	1.000	1
603	O=P(OCC(C)(C))(OCC(C)(C))OC	0	1.000	1
604	n1cccc(c1)COCCCCOC	0	1.000	1
605	O(CC=C)CC1CCC(COC)CC1	0	1.000	1
606	O=C(O)c1c(cccc1C(=O)OC)N	0	1.000	1
607	O=C(OC)NNc1ccccc1OC	0	1.000	1
608	O=C(OCc1ccccc1)C(=O)OC	0	1.000	1
609	C(NC1CC(O)(CO)C(O)C(O)C1O)	0	1.000	1
610	N(C)(C)CCCN(CCCN(C)C)C	0	1.000	1
611	Cc1ccc(cc1)c2nnc(n2)C(C)	0	1.000	1
612	O=C(N)CCc1cc(OCC)c(cc1)	0	1.000	1
613	C1(c2ccc(OCC)cc2)CC1(Cl)Cl	0	1.000	1
614	c1ccc(cc1)NCNCC(OCC)	0	1.000	1
615	O=C(OCCOCC)CCCOCC	0	1.000	1
616	O=C(NNC(C))c1ccc(cc1)CC	0	1.000	1
617	CCCSCc1nc(N=C(N)N)sc1	0	1.000	1
618	O=C(Oc1ccccc1)OCCC(C)	0	1.000	1
619	O=C(OCCC(C))C(=O)OCCC(C)	0	1.000	1
620	O=C(O)CCCCCNCCCCC	0	1.000	1
621	C(NCC)CNCCCCCCCC	0	1.000	1
622	O=S(=O)OCCCCCCCCCC	0	1.000	1
623	CC(=O)NC(C(=O)O)CCCCCC	0	1.000	1
624	O=C(c1ccc(cc1)C(F)(F)F)C(C)	0	1.000	1
625	c1ccccc1O[Si](C)(C)C(C)(C)C	0	1.000	1
626	O=C(c1cc(c2ccccc2)sc1)C	0	1.000	1
627	c1cccc2c(O)c(ccc12)C(=O)C	0	1.000	1
628	O=C(OCc1ccccc1[N+](=O)[O-])C	0	1.000	1
629	O=C(OCc1cccc(c1)[N+](=O)[O-])C	0	1.000	1
630	CC(c1ccc(cc1)CC=C(C)C)C	0	1.000	1
631	c1(nc2c(o1)cccc2)c3ccccc3	0	1.000	1
632	c12c(cc(cc2)O)ccc(S)c1	0	1.000	1
633	CC(NCCNCCC)C	0	1.000	1
634	CCOc1ccc(Cl)cc1	0	0.987	1
635	CC(=CN)C(=O)OCC	0	0.986	1
636	c1ccc(cc1F)C2CCC(CCC)CC2	0	0.986	1
637	C(=NNC(=O)C)C	0	0.985	1
638	C(NC(C(=O))C)C(NC)	0	0.983	1
639	c1c(c(C(C)(C)C)cc(c1)C)	0	0.972	1
640	P(O)OCCCCC	0	0.971	1
641	CC(=O)OCC(CC)CCCC	0	0.962	1
642	N=C(C(=O)c1ccccc1)	0	0.960	1
643	CCNC(=S)N	0	0.958	1
644	OCc1ccccc1NCC(C)	0	0.958	1
645	OCc1ccc2cc(O)ccc2c1	0	0.950	1
646	C(=O)(O)CCCCCCCC	0	0.949	1
647	CCCCCCCCCCCC	0	0.948	1
648	C(NCCN=C)C	0	0.944	1
649	c1ccccc1C(=CS)	0	0.944	1
650	C(O)CCCCCCCC=CCC	0	0.944	1
651	c1(c(C(=O)O)cccc1)C(=O)	0	0.943	1
652	O=C(NC)C(=O)	0	0.943	1
653	c1(CCCCCC)ccccc1	0	0.943	1
654	NC(=O)c1ccc(OCC)cc1	0	0.941	1
655	O=Cc1ccc(cc1)C(=O)N	0	0.941	1
656	CC(=CC=C)C(=O)O	0	0.938	1
657	N(C)(CCCC)CCCC	0	0.936	1
658	C1(C(CCC(C1)C)C)O	0	0.935	1
659	C(=O)(CCC(=O)O)	0	0.934	1
660	PC	0	0.933	1
661	CN(c1ccc(C)c(c1)C)C	0	0.931	1
662	c1c(c(cc(c1Cl)Cl)Cl)	0	0.930	1
663	C(=O)(C(=C)C)OCCCCC	0	0.929	1
664	CCOCCOCCOCCO	0	0.929	1
665	O=Cc1cnc(nc1)	0	0.929	1
666	O=C1NC=NC=C1	0	0.929	1
667	C(=O)(C(CCC(=O)O))O	0	0.927	1
668	CCCCCCC	0	0.923	1
669	O(c1ccccc1)CC(CNC(C))O	0	0.921	1
670	c1(F)ccc(cc1)C	0	0.920	1
671	c1(c(c(cc(c1)))O)c2c(c(cc(c2)))O	0	0.920	1
672	C(F)(F)C	0	0.918	1
673	n1c(nc(nc1))	0	0.918	1
674	n1cc(cnc1)CC	0	0.917	1
675	c1(C(=O)OC)c(N)cccc1	0	0.915	1
676	CC(CC)CCC	0	0.912	1
677	N(CCO)(CCCC)C	0	0.910	1
678	C(C=C)(CCC=C)	0	0.909	1
679	O(C(=O))C(=O)	0	0.908	1
680	NC1CC1	0	0.908	1
681	c1cc(c(c(c1)Br)O)	0	0.907	1
682	CCCC(C)C	0	0.902	1
683	c1c(C(F)(F)F)cccc1	0	0.900	1
684	C(C(OC)(C)C)	0	0.895	1
685	C(=O)CS	0	0.894	1
686	c1cc(c(cc1)Cl)Cl	0	0.894	1
687	C=NCCCCCC	0	0.893	1
688	P(=S)(OCC)OC	0	0.889	1
689	c1cc(c(cc1C)Cc2cc(cc(c2O))C)	0	0.889	1
690	S(=O)(=O)(N)c1ccc(N)cc1	0	0.887	1
691	c1(C(=O)OCC)ccccc1	0	0.885	1
692	N(c1ccccc1)c2ccccc2	0	0.885	1
693	SCCCC	0	0.882	1
694	C(=O)CCCCC	0	0.878	1
695	C(=O)(c1ccccc1)OC	0	0.872	1
696	N(c1ccccc1)CCCNC	0	0.871	1
697	S(=O)(=O)(c1cc(c(cc1))N)O	0	0.871	1
698	O=C(O)C(=C)C(=O)c1cc(F)ccc1	0	0.870	1
699	c1(c(Cl)cccc1)C	0	0.868	1
700	C(=O)(N(c1ccccc1))N	0	0.858	1
701	C(=O)(O)Cc1ccccc1	0	0.856	1
702	OCCN(C)C	0	0.851	1
703	C(=S)(N)	0	0.851	1
704	O=C(Nc1ccc(cc1)N(CC)C(C))	0	0.846	1
705	O=C(n1cncc1)	0	0.842	1
706	CC#N	0	0.840	1
707	C(=C(CC)C)C=O	0	0.834	1
708	CN1CN=CC=C1	0	0.833	1
709	[N+](C)(C)C	0	0.831	1
710	OC(=O)C(=C)C	0	0.831	1
711	Nc1ccc2C=CCOc2c1	0	0.824	1
712	C(=O)CC(=O)C	0	0.816	1
713	[nH]1cc(c2c1cccc2)CC	0	0.804	1
714	CNc1ccc(F)cc1F	0	0.800	1
715	c1c(c(ccc1C(O)CNC)O)	0	0.773	1
716	C(=O)(CC(C))OCC	0	0.881	1
717	C(=O)N(C)CCC	0	0.874	1
718	n1c2ccccc2c3cc(ccc13)C(=O)CC	0	1.000	1
719	Cc1c(nc2ccccc2c1)C3CC3	0	1.000	1
720	n1c2ccccc2[nH]c1Cc3ccc(cc3)	0	1.000	1
721	Fc1ccc(cc1Cc3cc2ccccc2s3)	0	1.000	1
722	n1c(nc(c2c1c(cs2)C)N3CCOCC3)	0	1.000	1
723	C(=C1SCC(c2ccccc2Cl)S1)n3cncc3	0	1.000	1
724	c1ccc(cc1)Cc3c2cc(ccc2n(c3C))	0	1.000	1
725	n1nc2n(N=C(CS2))c1c3cccc(c3)	0	1.000	1
726	C(OCC1CCC2OC2C1)C	1	0.875	2
727	C(O)C=Cc1cccc(c1)N	1	0.625	2
728	N(CC1OC1)C	1	0.750	2
729	O=CC(C)(C)CC(=O)	1	0.714	2
730	C(C(=O)Cl)(C)C	1	0.588	2
731	O=C(OC1CNCC1)	1	0.533	2
732	C(OCCCl)CCC	1	0.524	2
733	c1ccc(cc1)CBr	1	0.667	2
734	O=C(OOC)	1	0.619	2
735	C(N(C)CCCl)C	1	0.676	2
736	Nc3ccc(cc3)SCCCCCC	1	1.000	2
737	Nc1cccc2cccnc12	1	0.700	3
738	O=Nc1c(ncn1C)	1	0.833	3
739	CC(=C(C))CCl	1	0.647	3
740	O=COC(C)Cl	1	0.750	3
741	O=C1C=CC(=O)c2ccccc12	1	0.500	3
742	CCOC(=O)CCCl	1	0.800	3
743	O=C(OC(C)Cl)	1	0.750	3
744	O=C(OCC)CCCl	1	0.800	3
745	c1cc2oc3cc(c(cc3nc2cc1))	1	1.000	3
746	c1cccc2cc3ccccc3oc12	1	1.000	3
747	O=[N+]([O-])C(=Cc1ccccc1)	1	0.857	3
748	n1ccccc1CCl	1	0.857	3
749	c1c(nn(c1N)C)C	1	0.714	3
750	C(O)c1c(ccs1)S(=O)(=O)NCC(=O)OC	1	0.750	3
751	C(N)Cc1cccc2ccccc12	1	0.684	3
752	O=Nc1cnn(c1C)C	1	1.000	3
753	O=C(C(O))C(OCC)	1	0.250	3
754	O=S(=O)(F)C	1	0.375	3
755	O=C(OC)CBr	1	0.400	3
756	CSCCCl	1	0.667	3
757	C(CSC)Cl	1	0.667	3
758	N(=N)c1ccc(N)c(c1)C	1	0.531	3
759	O(CCC)CC1OC1	1	0.737	3
760	CCCOCC1OC1	1	0.737	3
761	O=S(OCC)c1ccccc1	1	0.659	3
762	C=CCBr	1	0.875	3
763	Nc1ccccc1c2ccccc2	1	0.906	3
764	C(C)C(Cl)Cl	1	0.433	3
765	n1ncc2c1cccc2	1	0.786	3
766	c1nnc(cc1)NN	1	0.900	3
767	c1cc2ccccc2c3cccnc13	1	0.897	3
768	c1cccc2c1ccc3ncccc23	1	0.897	3
769	O(C)CC1OC1	1	0.772	3
770	COCC1OC1	1	0.772	3
771	O=S(=O)(OCCC(C))c1ccc(cc1)	1	0.643	3
772	COS(=O)(=O)C	1	0.575	3
773	COc1ccc(N)cc1N	1	0.645	3
774	ONc1ccc(cc1)S	1	0.600	3
775	[N+]c1c(cc(cc1C)C)	1	0.429	3
776	O=S(=O)(OC)C	1	0.575	3
777	O(c1ccc(N)cc1N)C	1	0.645	3
778	[N+]c1ccc(cc1C)C	1	0.429	3
779	O=C(NCCN)c1ccccc1	1	0.347	3
780	c1ccc2c(c1)ccc3c2c(c(n3))	1	0.929	3
781	[N+]c1ccccc1OC	1	0.534	3
782	O=[N+]([O-])c1ccc(c(c1))Cl	1	0.667	3
783	C(=O)CCCl	1	0.585	3
784	c1cccc(C=Cc2ccc(N)cc2)c1	1	0.364	3
785	c1ccc(cc1)C=Cc2ccc(N)cc2	1	0.364	3
786	OCC(CBr)	1	0.683	3
787	C(=CBr)	1	0.553	3
788	C(=C)Br	1	0.553	3
789	O=CNNc1ccc(cc1)	1	0.439	3
790	OOC(c1ccccc1)(C)	1	0.760	3
791	O=CNNc1ccccc1	1	0.439	3
792	OOCC	1	0.623	3
793	c1cc2cccnc2c3ccccc13	1	0.846	3
794	c1cc2ccccc2c3ncccc13	1	0.846	3
795	OCCBr	1	0.551	3
796	OCCCCCl	1	0.373	3
797	c1[nH]cnc1c2ccccc2	1	0.769	3
798	O=C(c1ccccc1O)c2ccccc2O	1	0.829	3
799	Nc1cc(ccc1N)C	1	0.571	3
800	O=[N+]([O-])c1ccc(nc1)	1	0.769	3
801	O=C(c1cc(O)ccc1N)	1	0.433	3
802	C(Br)(Br)Br	1	0.722	3
803	c1cc(N)ccc1c2ccc(N)cc2	1	0.514	3
804	Nc1ccc(cc1)c2ccc(N)cc2	1	0.514	3
805	O=CC(Cl)Cl	1	0.596	3
806	NCCCCl	1	0.547	3
807	O=CC(=C)Cl	1	0.519	3
808	O=CNC(CC)CC	1	0.234	3
809	O=C(c1cccc(OC)c1)c2cc(ccc2)	1	0.756	3
810	O1CC1	1	0.711	3
811	C1OC1	1	0.711	3
812	O=Nc1ccc(OC)cc1	1	0.623	3
813	O=C1c2ccccc2C(=O)c3c(O)cccc13	1	0.760	3
814	O=C1c2cccc(O)c2C(=O)c3ccccc13	1	0.760	3
815	c1ccc(cc1)NCCCl	1	0.500	3
816	c1cc(ccc1NCCCl)	1	0.500	3
817	C(CCl)CCl	1	0.373	3
818	C(c1ccccc1C)Cl	1	0.550	3
819	O=Nc1ccc(cc1)CC	1	0.692	3
820	O=[N+]([O-])c1cccc(c1)CO	1	0.569	3
821	C1(c2ccccc2c3ccccc13)C	1	0.571	3
822	n1c2occc2c(OC)c3ccccc13	1	0.692	3
823	c1ccc2c(c1)c3cc(ccc3C2C)	1	0.571	3
824	Nc1ccc(cc1)c2ccccc2	1	0.694	3
825	Nc1ccc(cc1)c2ccc(cc2)	1	0.694	3
826	OCCCCl	1	0.429	3
827	CS(=O)(=O)Cl	1	0.611	3
828	O=S(=O)(C)Cl	1	0.611	3
829	CCCBr	1	0.476	3
830	O=S(=O)(OCC)O	1	0.247	3
831	O=S(=O)(O)OCC	1	0.247	3
832	c1ccc(Oc2ccc(N)cc2)cc1	1	0.429	3
833	O(c1ccc(N)cc1)c2ccccc2	1	0.429	3
834	Nc1ccc(N)cc1N	1	0.571	3
835	O=CC=C(Cl)	1	0.474	3
836	C(C)(CCl)Cl	1	0.349	3
837	C(=CCCl)	1	0.628	3
838	C=C(CCl)	1	0.628	3
839	O(C(C)CCl)	1	0.517	3
840	Nc1cc(ccc1C)C	1	0.274	3
841	Nc1cc(c(cc1C))C	1	0.274	3
842	NNc1ccccc1	1	0.300	3
843	c1ccccc1NN	1	0.300	3
844	O=[N+]([O-])c1cccc(N)c1	1	0.734	3
845	O=C1c2ccccc2C(=O)c3c(N)cccc13	1	0.487	3
846	O=C1c2ccccc2C(=O)c3c(cccc13)N	1	0.487	3
847	CBr	1	0.537	3
848	CC(C)Br	1	0.438	3
849	C(C)(C)Br	1	0.438	3
850	O=C(NCO)NC	1	0.192	3
851	CC(Cl)Cl	1	0.442	3
852	Nc1cccc(N)c1C	1	0.500	3
853	Nc1ccc(cc1C)C	1	0.192	3
854	O=Nc1ccccc1	1	0.690	3
855	Nc1cc(c(cc1C)C)	1	0.192	3
856	ONc1ccc(c(c1))C	1	0.748	3
857	[N+](=C)	1	0.456	3
858	ONc1cc(cc(c1)C)	1	0.603	3
859	ONc1cccc(c1)C	1	0.603	3
860	Nc1cc(N)ccc1	1	0.468	3
861	c1cc(N)cc(N)c1	1	0.468	3
862	[N+]c1ccccc1	1	0.677	3
863	O=N	1	0.724	3
864	O(c1ccc(N)cc1)C	1	0.324	3
865	Cc1cccc2cccnc12	1	0.649	3
866	O=C(c1ccccc1)Cl	1	0.567	3
867	O=C(c1cccn1)	1	0.405	3
868	COCCCl	1	0.553	3
869	CC(C)Cl	1	0.371	3
870	C(C)(C)Cl	1	0.371	3
871	NCCCl	1	0.548	3
872	NCCl	1	0.500	3
873	C(N)Cl	1	0.500	3
874	OCCCl	1	0.520	3
875	N(=Nc1ccc(N)cc1)c2ccccc2	1	0.498	3
876	O=CCCc1c(cc(cc1C))	1	0.347	3
877	NOCCC	1	0.338	3
878	n1c(cc(N)s1)	1	0.470	3
879	CCl	1	0.497	3
880	c1ccc2ncccc2c1	1	0.604	3
881	c1ccc(cc1)CCl	1	0.580	3
882	c1cccc(c1)CCl	1	0.580	3
883	C(=CC)Cl	1	0.415	3
884	C(=C)Cl	1	0.452	3
885	NCCNCCNCCN	1	0.119	3
886	CCI	1	0.288	3
887	O=C(NN)C	1	0.175	3
888	O=C(C)NN	1	0.175	3
889	C(OCC)C(=O)C	1	0.362	3
890	P(O)(OC)OC	1	0.233	3
891	NO	1	0.613	3
892	CCOCCCl	1	0.562	3
893	c1cccc2c(O)c(ccc12)C(=O)	1	0.194	3
894	Nc2ccc(cc2)N(C)C	1	0.477	3
895	Nc1ccc(cc1)N(C)C	1	0.477	3
896	Nc1cccc(c1)C	1	0.362	3
897	Cc1nc2ccccc2cc1	1	0.193	3
898	S(=O)(=O)Cl	1	0.455	3
899	NN	1	0.463	3
900	c1ccc(N)cc1OC	1	0.305	3
901	C(=O)Cl	1	0.471	3
902	C(N)Cc1ccc(O)c(O)c1	1	0.364	3
903	N(Cc1ccccc1)CCN(C)	1	0.172	3
904	CCNN	1	0.465	3
905	Nc1cnccc1	1	0.424	3
906	c1ccc(N)cc1	1	0.384	3
907	c1cc(N)ccc1C	1	0.335	3
908	c1cccc2cnccc12	1	0.795	3
909	c1c2ccccc2ccn1	1	0.795	3
910	c1ccc(cc1)S(=O)(=O)Cl	1	0.423	3
911	C1OCC1	1	0.325	3
912	SCCl	1	0.667	3
913	Nc1ncccc1	1	0.223	3
914	c1cc(occ1)	1	0.333	3
915	N(=Nc1ccc(cc1C))c2ccccc2	1	0.389	3
916	N=N	1	0.390	3
917	C=CC=CCC	1	0.274	3
918	Oc1cc(N)ccc1	1	0.292	3
919	c1ccc(cc1)NC=C	1	0.181	3
920	C=CNc1ccccc1	1	0.181	3
921	c1cc(c(cc1)Cc2ccc(cc2))C	1	0.344	3
922	n1cc(nc2ccccc12)	1	0.776	3
923	c1c(N)c(n(n1))C	1	0.214	3
924	O=C(C=CC)	1	0.221	3
925	Nc1ccc(cc1S)	1	0.171	3
926	Oc1ccc(cc1N)	1	0.277	3
927	c1cnc(N)s1	1	0.335	3
928	c1ccc(cc1N)Cl	1	0.244	3
929	O=C(NO)	1	0.594	3
930	c1cccc2ccccc12	1	0.534	3
931	CC(=N)C	1	0.218	3
932	Nc1ccc(cc1)CC	1	0.293	3
933	Nc1c(cccc1CC)	1	0.220	3
934	Nc1cccc2ccccc12	1	0.474	3
935	c1ccc2c(O)cccc2c1	1	0.290	3
936	C#C	1	0.235	3
937	O=CC(=O)	1	0.269	3
