No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
216	O=CCCCCCCCCCC	14.09	0.414	18.11	0.533	19.81	0.583	33.01	0.971	34	12	33	11	1	1	0	0	12	22	11	0	1	0	0	0	0	0	0	0	64.706	32.353	0	2.941	0	1	0
217	O=CC=CCCC=CCC	11.45	0.477	13.71	0.571	14.77	0.615	23.49	0.979	24	10	23	9	3	3	0	0	12	14	9	0	1	0	0	0	0	0	0	0	58.333	37.5	0	4.167	0	1	0
218	O=Cc1ccccc1(N)	10.06	0.629	10.3	0.644	10.73	0.671	16.07	1.004	16	9	16	9	7	1	0	6	13	7	7	1	1	0	0	0	0	0	0	0	43.75	43.75	6.25	6.25	0	2	0
219	O=Cc1ccc2OCOc2(c1)	12.47	0.734	11.33	0.666	11.63	0.684	17.63	1.037	17	11	18	12	7	1	0	6	16	6	8	0	3	0	0	0	0	0	0	0	35.294	47.059	0	17.647	0	3	0
220	O=Cc1ccc(OCC)cc1	12.46	0.593	13.02	0.62	13.7	0.652	21.06	1.003	21	11	21	11	7	1	0	6	15	10	9	0	2	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	2	0
221	O=Cc1oc(cc1)C	9.14	0.653	8.82	0.63	9.18	0.656	14.3	1.021	14	8	14	8	6	1	0	5	11.5	6	6	0	2	0	0	0	0	0	0	0	42.857	42.857	0	14.286	0	2	0
222	O=CC(=CCC(C)C)c1ccccc1	15.61	0.52	18.31	0.61	19.53	0.651	29.37	0.979	30	14	30	14	8	2	0	6	19	16	13	0	1	0	0	0	0	0	0	0	53.333	43.333	0	3.333	0	1	0
223	O=CCC(C)CCCC(O)(C)C	14.26	0.446	17.02	0.532	18.5	0.578	31.46	0.983	32	12	31	11	1	1	0	0	12	20	10	0	2	0	0	0	0	0	0	0	62.5	31.25	0	6.25	0	2	0
224	O=CC(=CCCC(C)C2CCC3(C)(CC1C(C(=O)CC1(O)(C))C(=CCC23)C))C	32.03	0.485	37.93	0.575	40.79	0.618	64.71	0.98	66	28	68	30	4	4	0	0	34	38	25	0	3	0	0	0	0	0	0	0	57.576	37.879	0	4.545	0	3	0
225	O=C2OC4CC=C1CCN(C)C1C4(c3cc(OC)c(OC)cc23)	26.17	0.595	27.03	0.614	28.4	0.645	44.22	1.005	44	23	47	26	8	2	0	6	31	21	18	1	4	0	0	0	0	0	0	0	47.727	40.909	2.273	9.091	0	5	0
