No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
192	Oc5ccc4c1c5(OC2C(O)C=CC3C(N(CC=C)CCC123)C4)	25.84	0.587	27.52	0.625	28.95	0.658	43.89	0.998	44	23	48	27	8	2	0	6	32	21	19	1	3	0	0	0	0	0	0	0	47.727	43.182	2.273	6.818	0	4	0
193	O=P(OC=C(Cl)Cl)(OC)OC	18.36	1.02	11.32	0.629	13	0.722	19.36	1.076	18	11	17	10	2	2	0	0	12	7	4	0	4	1	0	0	2	0	0	0	38.889	22.222	0	22.222	11.111	7	2
194	O=NN(C)C	6.15	0.559	5.69	0.517	5.97	0.543	11.29	1.026	11	5	10	4	1	1	0	0	5	6	2	2	1	0	0	0	0	0	0	0	54.545	18.182	18.182	9.091	0	3	0
195	O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3)	23.74	0.505	27.82	0.592	29.78	0.634	46.1	0.981	47	21	50	24	3	3	0	0	27	26	19	0	2	0	0	0	0	0	0	0	55.319	40.426	0	4.255	0	2	0
196	O=C(Oc1cccc2ccccc12)NC	16.71	0.643	17.01	0.654	17.7	0.681	26.16	1.006	26	15	27	16	12	1	0	11	22.5	11	12	1	2	0	0	0	0	0	0	0	42.308	46.154	3.846	7.692	0	3	0
197	O=C(O)C(N)CCSC	12.38	0.619	11.1	0.555	12.35	0.617	20.24	1.012	20	9	19	8	1	1	0	0	9	11	5	1	2	0	1	0	0	0	0	0	55	25	5	10	0	4	0
198	O=S(=O)(N)c1ccc(N)cc1	14.31	0.753	11.89	0.626	12.83	0.675	19.58	1.031	19	11	19	11	8	2	0	6	16	8	6	2	2	0	1	0	0	0	0	0	42.105	31.579	10.526	10.526	0	5	0
199	O=C(OC)C1=CCCN(C)C1	12.87	0.536	13.61	0.567	14.46	0.602	24.04	1.002	24	11	24	11	2	2	0	0	13	13	8	1	2	0	0	0	0	0	0	0	54.167	33.333	4.167	8.333	0	3	0
200	O=C(O)C(N)Cc1ccccc1	13.71	0.596	14.01	0.609	14.7	0.639	23.16	1.007	23	12	23	12	7	1	0	6	16	11	9	1	2	0	0	0	0	0	0	0	47.826	39.13	4.348	8.696	0	3	0
201	O=C(N)NC(=O)Cc1ccccc1	14.8	0.643	14.4	0.626	14.94	0.65	23.38	1.017	23	13	23	13	8	2	0	6	18	10	9	2	2	0	0	0	0	0	0	0	43.478	39.13	8.696	8.696	0	4	0
202	O=C(N)Nc1cccc(c1)C	12.47	0.594	12.89	0.614	13.49	0.642	21.05	1.002	21	11	21	11	7	1	0	6	15	10	8	2	1	0	0	0	0	0	0	0	47.619	38.095	9.524	4.762	0	3	0
203	O=C(Oc1cccc(c1)C(C)C)NC	16.03	0.553	17.21	0.593	18.22	0.628	28.92	0.997	29	14	29	14	7	1	0	6	18	15	11	1	2	0	0	0	0	0	0	0	51.724	37.931	3.448	6.897	0	3	0
204	NCCc1ccccc1	10.05	0.503	11.99	0.6	12.8	0.64	19.5	0.975	20	9	20	9	6	0	0	6	12	11	8	1	0	0	0	0	0	0	0	0	55	40	5	0	0	1	0
205	O=C(N)Nc1ccccc1	11.31	0.628	11.29	0.627	11.73	0.652	18.17	1.009	18	10	18	10	7	1	0	6	14	8	7	2	1	0	0	0	0	0	0	0	44.444	38.889	11.111	5.556	0	3	0
206	O(c1ccc(cc1)CC(N)C)C	13.7	0.507	15.7	0.581	16.77	0.621	26.59	0.985	27	12	27	12	6	0	0	6	15	15	10	1	1	0	0	0	0	0	0	0	55.556	37.037	3.704	3.704	0	2	0
207	OCC	3.81	0.423	4.31	0.479	4.73	0.526	8.97	0.997	9	3	8	2	0	0	0	0	2	6	2	0	1	0	0	0	0	0	0	0	66.667	22.222	0	11.111	0	1	0
208	O=CO	3.82	0.764	2.62	0.524	2.66	0.532	5.54	1.108	5	3	4	2	1	1	0	0	3	2	1	0	2	0	0	0	0	0	0	0	40	20	0	40	0	2	0
209	O=C(O)C	4.98	0.623	4.22	0.527	4.42	0.552	8.42	1.052	8	4	7	3	1	1	0	0	4	4	2	0	2	0	0	0	0	0	0	0	50	25	0	25	0	2	0
210	O=C(OC2(c1ccccc1)(CC(N(C)CC2(C))C))CC	22.83	0.507	26.21	0.582	28.02	0.623	44.32	0.985	45	20	46	21	7	1	0	6	25	25	17	1	2	0	0	0	0	0	0	0	55.556	37.778	2.222	4.444	0	3	0
211	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	22.44	0.623	21.4	0.594	23.08	0.641	36.31	1.009	36	18	36	18	9	3	0	6	24	18	12	2	3	0	1	0	0	0	0	0	50	33.333	5.556	8.333	0	6	0
212	O=C4C=C3CCC1C(CCC2(C)(C(C(=O)CO)CCC12))C3(C)CC4	27.39	0.507	31.53	0.584	33.75	0.625	53.19	0.985	54	24	57	27	3	3	0	0	30	30	21	0	3	0	0	0	0	0	0	0	55.556	38.889	0	5.556	0	3	0
213	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	33.15	0.614	33.25	0.616	34.82	0.645	54.64	1.012	54	29	56	31	11	5	0	6	39	25	22	1	6	0	0	0	0	0	0	0	46.296	40.741	1.852	11.111	0	7	0
214	Oc1c(ncc(c1CO)CO)C	14.04	0.61	13.52	0.588	14.15	0.615	23.49	1.021	23	12	23	12	6	0	0	6	15	11	8	1	3	0	0	0	0	0	0	0	47.826	34.783	4.348	13.043	0	4	0
215	O=C(N)c1ccccc1(O)	11.39	0.67	10.81	0.636	11.18	0.658	17.4	1.024	17	10	17	10	7	1	0	6	14	7	7	1	2	0	0	0	0	0	0	0	41.176	41.176	5.882	11.765	0	3	0
216	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	20.2	0.673	17.52	0.584	18.05	0.602	31.35	1.045	30	17	31	18	3	3	0	0	21	13	9	3	5	0	0	0	0	0	0	0	43.333	30	10	16.667	0	8	0
217	O=C(O)c1ccc(N)cc1(O)	12.72	0.707	11.32	0.629	11.63	0.646	18.73	1.041	18	11	18	11	7	1	0	6	15	7	7	1	3	0	0	0	0	0	0	0	38.889	38.889	5.556	16.667	0	4	0
218	O=C(O)c1ccccc1	10.14	0.676	9.82	0.655	10.18	0.679	15.3	1.02	15	9	15	9	7	1	0	6	13	6	7	0	2	0	0	0	0	0	0	0	40	46.667	0	13.333	0	2	0
219	O=CCCCCC	8.29	0.436	10.11	0.532	11.01	0.579	18.61	0.979	19	7	18	6	1	1	0	0	7	12	6	0	1	0	0	0	0	0	0	0	63.158	31.579	0	5.263	0	1	0
220	O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O)))))	33.54	0.55	35.66	0.585	37.86	0.621	61.06	1.001	61	29	65	33	3	3	0	0	36	32	23	0	6	0	0	0	0	0	0	0	52.459	37.705	0	9.836	0	6	0
221	n2cccc3ccc1cccnc1c23	14.98	0.681	15.78	0.717	16.28	0.74	21.84	0.993	22	14	24	16	16	0	0	16	24	8	12	2	0	0	0	0	0	0	0	0	36.364	54.545	9.091	0	0	2	0
222	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C)	33.35	0.71	30.41	0.647	31.98	0.68	48.07	1.023	47	28	50	31	14	3	0	11	39.5	19	19	3	5	0	1	0	0	0	0	0	40.426	40.426	6.383	10.638	0	9	0
223	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	23.33	0.543	24.63	0.573	26.16	0.608	43.1	1.002	43	20	44	21	3	3	0	0	24	23	15	1	4	0	0	0	0	0	0	0	53.488	34.884	2.326	9.302	0	5	0
224	O=C1Oc2cc3occc3(cc2(C=C1))	15.47	0.774	14.33	0.717	14.63	0.732	20.63	1.032	20	14	22	16	12	2	0	10	23	6	11	0	3	0	0	0	0	0	0	0	30	55	0	15	0	3	0
225	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	19.81	0.861	15.11	0.657	15.01	0.653	24.93	1.084	23	17	24	18	9	4	0	5	24.5	6	8	4	5	0	0	0	0	0	0	0	26.087	34.783	17.391	21.739	0	9	0
226	n1[nH]c(cc1C)C	7.98	0.532	8.78	0.585	9.28	0.619	14.84	0.989	15	7	15	7	5	0	0	5	9.5	8	5	2	0	0	0	0	0	0	0	0	53.333	33.333	13.333	0	0	2	0
227	O=C1NC(=O)CC(=O)N1	10.65	0.819	8.11	0.624	8.11	0.624	14.07	1.082	13	9	13	9	3	3	0	0	12	4	4	2	3	0	0	0	0	0	0	0	30.769	30.769	15.385	23.077	0	5	0
228	OC	2.65	0.442	2.71	0.452	2.97	0.495	6.09	1.015	6	2	5	1	0	0	0	0	1	4	1	0	1	0	0	0	0	0	0	0	66.667	16.667	0	16.667	0	1	0
229	OC(C)C	4.97	0.414	5.91	0.492	6.49	0.541	11.85	0.987	12	4	11	3	0	0	0	0	3	8	3	0	1	0	0	0	0	0	0	0	66.667	25	0	8.333	0	1	0
230	O=C(C)C	4.81	0.481	5.31	0.531	5.73	0.573	9.97	0.997	10	4	9	3	1	1	0	0	4	6	3	0	1	0	0	0	0	0	0	0	60	30	0	10	0	1	0
231	C(Cl)(Cl)Cl	9.93	1.986	4.3	0.86	5.1	1.02	5.75	1.15	5	4	4	3	0	0	0	0	3	1	1	0	0	0	0	0	3	0	0	0	20	20	0	0	60	3	3
232	O=S(C)C	6.48	0.648	5.4	0.54	6.38	0.638	10.05	1.005	10	4	9	3	1	1	0	0	4	6	2	0	1	0	1	0	0	0	0	0	60	20	0	10	0	2	0
233	O=S(=O)(C)C	7.81	0.71	5.91	0.537	6.83	0.621	11.38	1.035	11	5	10	4	2	2	0	0	6	6	2	0	2	0	1	0	0	0	0	0	54.545	18.182	0	18.182	0	3	0
234	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	19.7	2.462	8	1	9.44	1.18	9.62	1.202	8	8	7	7	0	0	0	0	7	0	2	0	0	0	0	0	6	0	0	0	0	25	0	0	75	6	6
235	O=C1C=CC4(C(=C1)C(F)CC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C)	37.54	0.605	36.88	0.595	38.72	0.625	63.082	1.017	62	32	66	36	4	4	0	0	40	30	24	0	6	0	0	2	0	0	0	0	48.387	38.71	0	9.677	3.226	8	2
236	O=C(OCC(=O)C3(O)(C(OC(=O)C)CC2C4CCC1=CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))C	39.7	0.611	38.79	0.597	40.69	0.626	66.231	1.019	65	34	68	37	6	6	0	0	43	31	25	0	8	0	0	1	0	0	0	0	47.692	38.462	0	12.308	1.538	9	1
237	O=C(O)CS	7.65	0.85	5.31	0.59	6.07	0.674	9.5	1.056	9	5	8	4	1	1	0	0	5	4	2	0	2	0	1	0	0	0	0	0	44.444	22.222	0	22.222	0	3	0
238	O=CN(C)C	6.06	0.505	6.3	0.525	6.73	0.561	12.07	1.006	12	5	11	4	1	1	0	0	5	7	3	1	1	0	0	0	0	0	0	0	58.333	25	8.333	8.333	0	2	0
239	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4	24.74	0.515	28.82	0.6	30.78	0.641	47.1	0.981	48	22	51	25	3	2	1	0	29	26	20	0	2	0	0	0	0	0	0	0	54.167	41.667	0	4.167	0	2	0
240	OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C	23.73	0.465	29.51	0.579	31.85	0.625	49.53	0.971	51	21	51	21	5	5	0	0	26	30	20	0	1	0	0	0	0	0	0	0	58.824	39.216	0	1.961	0	1	0
241	O=S(=O)(Nc1ncccn1)c2ccc(N)cc2	20.81	0.771	17.87	0.662	18.83	0.697	27.78	1.029	27	17	28	18	14	2	0	12	26	10	10	4	2	0	1	0	0	0	0	0	37.037	37.037	14.815	7.407	0	7	0
242	c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	26.02	1.446	15.2	0.844	16.96	0.942	19.38	1.077	18	14	18	14	6	0	0	6	17	4	8	0	0	0	0	0	6	0	0	0	22.222	44.444	0	0	33.333	6	6
243	O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4	19.21	0.64	18.99	0.633	19.7	0.657	30.36	1.012	30	17	33	20	4	4	0	0	24	13	12	3	2	0	0	0	0	0	0	0	43.333	40	10	6.667	0	5	0
244	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4	27.39	0.507	31.53	0.584	33.75	0.625	53.19	0.985	54	24	57	27	3	3	0	0	30	30	21	0	3	0	0	0	0	0	0	0	55.556	38.889	0	5.556	0	3	0
245	FC(F)(F)c1ccc3c(c1)N(c2ccccc2S3)CCCN4CCN(CCO)CC4	36.33	0.649	34.7	0.62	36.77	0.657	56.683	1.012	56	30	59	33	12	0	0	12	39	26	22	3	1	0	1	3	0	0	0	0	46.429	39.286	5.357	1.786	5.357	8	3
246	OCC3OC(n2ccc1c(ncnc12)N)C(O)C3(O)	22.12	0.67	20	0.606	20.6	0.624	34.12	1.034	33	19	35	21	10	0	0	10	26	14	11	4	4	0	0	0	0	0	0	0	42.424	33.333	12.121	12.121	0	8	0
247	O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C)	29.02	0.675	26.9	0.626	28.53	0.663	43.74	1.017	43	24	45	26	9	3	0	6	32	19	16	3	4	0	1	0	0	0	0	0	44.186	37.209	6.977	9.302	0	8	0
248	O=C(O)c1ccccc1(O)	11.47	0.717	10.33	0.646	10.63	0.664	16.63	1.039	16	10	16	10	7	1	0	6	14	6	7	0	3	0	0	0	0	0	0	0	37.5	43.75	0	18.75	0	3	0
249	O=C1NC(=O)N(C=C1C(F)(F)F)C2OC(CO)C(O)C2	24.61	0.794	18.46	0.595	18.6	0.6	33.663	1.086	31	20	32	21	3	3	0	0	24	11	10	2	5	0	0	3	0	0	0	0	35.484	32.258	6.452	16.129	9.677	10	3
250	O=C(c1ccccc1)CBr	16.54	0.973	11.99	0.705	12.84	0.755	17.08	1.005	17	10	17	10	7	1	0	6	14	7	8	0	1	0	0	0	0	1	0	0	41.176	47.059	0	5.882	5.882	2	1
251	O=C(O)C(N)CCCN	10.96	0.522	11	0.524	11.7	0.557	21.26	1.012	21	9	20	8	1	1	0	0	9	12	5	2	2	0	0	0	0	0	0	0	57.143	23.81	9.524	9.524	0	4	0
252	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	33.84	1.253	21.82	0.808	23.62	0.875	28.92	1.071	27	21	28	22	12	0	0	12	28	6	13	0	2	0	0	0	6	0	0	0	22.222	48.148	0	7.407	22.222	8	6
253	O=C(O)C(N)CC(=O)N	10.97	0.645	9.31	0.548	9.63	0.566	17.83	1.049	17	9	16	8	2	2	0	0	10	8	4	2	3	0	0	0	0	0	0	0	47.059	23.529	11.765	17.647	0	5	0
254	O=S(=O)(N)c1ccc(cc1)C	14.22	0.711	12.5	0.625	13.59	0.68	20.36	1.018	20	11	20	11	8	2	0	6	16	9	7	1	2	0	1	0	0	0	0	0	45	35	5	10	0	4	0
255	O=C(c1ccc(O)cc1)CC	12.46	0.593	13.02	0.62	13.7	0.652	21.06	1.003	21	11	21	11	7	1	0	6	15	10	9	0	2	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	2	0
256	O=C(O)C(N)Cc1nc[nH]c1	12.89	0.645	11.79	0.59	12.18	0.609	20.6	1.03	20	11	20	11	6	1	0	5	14.5	9	6	3	2	0	0	0	0	0	0	0	45	30	15	10	0	5	0
257	OCCC	4.97	0.414	5.91	0.492	6.49	0.541	11.85	0.988	12	4	11	3	0	0	0	0	3	8	3	0	1	0	0	0	0	0	0	0	66.667	25	0	8.333	0	1	0
258	O=C1N=CNC(=O)N1	9.41	0.855	6.99	0.635	6.9	0.627	11.96	1.087	11	8	11	8	3	3	0	0	11	3	3	3	2	0	0	0	0	0	0	0	27.273	27.273	27.273	18.182	0	5	0
259	OCCCC	6.13	0.409	7.51	0.501	8.25	0.55	14.73	0.982	15	5	14	4	0	0	0	0	4	10	4	0	1	0	0	0	0	0	0	0	66.667	26.667	0	6.667	0	1	0
260	OCCCCC	7.29	0.405	9.11	0.506	10.01	0.556	17.61	0.978	18	6	17	5	0	0	0	0	5	12	5	0	1	0	0	0	0	0	0	0	66.667	27.778	0	5.556	0	1	0
261	c1ccccc1	6.48	0.54	7.8	0.65	8.28	0.69	11.64	0.97	12	6	12	6	6	0	0	6	9	6	6	0	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0
262	CC(Cl)(Cl)Cl	11.09	1.386	5.9	0.738	6.86	0.858	8.63	1.079	8	5	7	4	0	0	0	0	4	3	2	0	0	0	0	0	3	0	0	0	37.5	25	0	0	37.5	3	3
