no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
100	N=NC	1	0.82	0.000003	
101	O=CC(=C)Cl	1	0.63	0.210036	106
102	n1cnc2c(ncn2)c1N	1	0.87	0.000183	
103	NNCC	1	0.82	0.000000	
104	Cc2ccc(N)cc2	1	0.70	0.000000	
105	Nc1ccc(N)cc1	1	0.81	0.000000	
106	CCCl	1	0.65	0.000045	
107	C=NN1N=Nc2c([nH]c3ccccc23)C1=O	1	0.00	1.000000	56
108	NC([N+])	1	1.00	0.255933	
109	n1c2ccc(cc2[s+]c3cc(N)c(cc13))N	1	1.00	0.255933	
110	O=Nn1cc(c2ccccc12)CC	1	1.00	0.255933	
111	O=CC(=CC)C=CC	1	0.82	0.076957	
112	O=C1OCC1	1	0.75	0.630912	
113	C(O)CCCCCCCC=CCC	0	0.93	0.000000	163
114	CCOc1ccc(Cl)cc1	0	1.00	0.000000	
115	C(NC(C(=O))C)C(NC)	0	1.00	0.000000	
116	c1(c(ccc(c1)CCCCCC))O	0	0.88	0.000033	141
117	c1c(c(C(C)(C)C)cc(c1)C)	0	0.96	0.000000	
118	c1(c(C(=O)O)cccc1)C(=O)	0	0.90	0.000000	
119	S(=O)(=O)(N)c1ccc(N)cc1	0	0.95	0.000001	138,168
120	n1c(nc(nc1))	0	0.75	0.045838	
121	C(=O)(C(CCC(=O)O))O	0	0.83	0.001418	
122	CCOCCOCCOCCO	0	0.94	0.000015	202
123	CC(=O)OCC(CC)CCCC	0	0.97	0.000000	163,169,182,188
124	P(O)OCCCCC	0	1.00	0.000831	
125	N(c1ccccc1)CCCNC	0	0.88	0.000701	
126	c1(C(=O)OC)c(N)cccc1	0	0.82	0.002598	170
127	C(C)(Oc1ccccc1)(C)C	0	0.92	0.001880	
128	N(CCO)(CCCC)C	0	0.95	0.000001	176
129	C(=C)CCCl	0	0.67	0.095646	106
130	C(=O)(C(=C)C)OCCCCC	0	0.85	0.004943	187,188
131	Oc1ccc2C=C(COc2c1)c3ccccc3	0	0.00	1.000000	158
132	c1(nc2c(o1)cccc2)c3ccccc3	0	1.00	0.000831	
133	c1(c(c(cc(c1)))O)c2c(c(cc(c2)))O	0	0.92	0.001880	
134	n1c(cc(c2c1cccc2))CO	0	0.75	0.336337	99
135	c1c(c(ccc1C(O)CNC)O)	0	0.80	0.050924	
136	O(C(=O))C(=O)	0	0.92	0.001880	
137	C(=O)(CCC(=O)O)	0	0.85	0.000000	
138	S(=O)(=O)(c1ccccc1)N	0	0.93	0.000000	
139	c1c(c(cc(c1Cl)Cl)Cl)	0	0.94	0.000000	159,183
140	C(C=C)(CCC=C)	0	0.89	0.000000	
141	c1(CCCCCC)ccccc1	0	0.70	0.000070	
142	N(C)(CCCC)CCCC	0	0.88	0.000009	
143	C(=O)(O)CCCCCCCC	0	0.86	0.000000	163,177
144	C(=O)(N(c1ccccc1))N	0	0.74	0.001470	
145	C1(C(CCC(C1)C)C)O	0	0.85	0.000078	163,169,182
146	c1(C(=O)OCC)ccccc1	0	0.91	0.000000	170
147	c1c(C(F)(F)F)cccc1	0	0.81	0.000156	
148	C(=O)CS	0	0.82	0.000811	
149	O(c1ccccc1)CC(CNC(C))O	0	0.92	0.000001	
150	C(F)(F)C	0	0.82	0.000015	
151	c1cc(c(c(c1)Br)O)	0	0.92	0.000958	
152	c1(Br)ccc(cc1)C	0	0.77	0.001345	
153	SCCCC	0	0.83	0.000047	
154	C(=O)CC(=O)C	0	0.59	0.098503	
155	N(CCO)(CCO)C	0	0.92	0.001880	176
156	C(=O)N(C)CCC	0	0.67	0.000561	
157	CCCCCCCCCCCC	0	0.85	0.000000	163
158	c1(c(ccc(c1)C=CC)O)	0	0.67	0.000696	
159	c1cc(c(cc1)Cl)Cl	0	0.85	0.000000	
160	C=CC=C(CCC)C	0	0.68	0.021485	
161	c1ccc(NC(C)C)cc1	0	0.63	0.081287	
162	C1CC(CC(C1))(C)C	0	0.78	0.000000	163,169,182
163	CCCCCCC	0	0.79	0.000000	
164	C(C(OC)(C)C)	0	0.69	0.000666	
165	N#CCC	0	0.69	0.001256	179,192
166	C(=C(CC)O)	0	0.66	0.038556	
167	CN1CN=CC=C1	0	0.64	0.243528	71
168	S(=O)(=O)c1ccc(N)cc1	0	0.90	0.000000	
169	CC(CC)CCC	0	0.77	0.000000	182
170	C(=O)(c1ccccc1)OC	0	0.82	0.000000	
171	c1(F)ccc(cc1)C	0	0.75	0.022322	
172	C(=Cc1ccccc1)C(=O)c2ccccc2	0	0.75	0.000567	
173	[nH]1cc(c2c1cccc2)CC	0	0.74	0.000257	
174	P(=S)(OCC)OC	0	0.83	0.001418	
175	[N+](C)(C)C	0	0.68	0.051039	
176	OCCN(C)C	0	0.70	0.000000	
177	C(=O)CCCCC	0	0.70	0.000000	
178	C(=O)(CC(C))OCC	0	0.74	0.000000	
179	CC#N	0	0.64	0.001050	192
180	C(=C(CC)C)C=O	0	0.71	0.000029	
181	O=C1NC=NC=C1	0	0.00	1.000000	
182	CCCC(C)C	0	0.74	0.000000	
183	c1(cc(ccc1)Cl)Cl	0	0.75	0.000000	
184	c12c(cc(cc2)O)ccc(S)c1	0	1.00	0.094184	
185	PC	0	0.77	0.026520	
186	OCC(CO)(C)C	0	0.79	0.000140	
187	OC(=O)C(=C)C	0	0.58	0.007712	
188	C(=O)(C)OCCCC	0	0.72	0.000000	
189	c1(C(=O)O)c(ccc(c1))O	0	0.76	0.000376	
190	c1(c(Cl)cccc1)C	0	0.75	0.000001	
191	Cc1cc(c(cc1)OC)OC	0	0.76	0.000128	
192	C#N	0	0.59	0.004087	
193	Cc1ccc(Cl)cc1	0	0.69	0.000009	
194	Nc1ccc2C=CCOc2c1	0	0.78	0.088913	104
195	C(=O)(O)Cc1ccccc1	0	0.68	0.005108	
196	c1(cc(ccc1CCC)O)O	0	0.44	0.876118	
197	N(c1ccccc1)c2ccccc2	0	0.65	0.004768	
198	C=NO	0	0.58	0.219292	
199	C(=S)(N)	0	0.65	0.048433	
200	c1(CC)cc(OC)ccc1	0	0.62	0.001087	
201	c1(nc2c(s1)cccc2)	0	0.46	1.000000	
202	OCCOCCO	0	0.65	0.000019	
203	N(C)(CCN)c1ccccc1	0	0.52	0.550524	
204	[N+]([O-])CC	0	0.58	0.219292	
205	S(=O)(=O)(c1cc(c(cc1))N)O	0	0.79	0.015109	
