no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
175	CCCCCC(=O)O	0	0.94	0.000032	3,5,6,7,11,27,30,56,64,117,119,143,169,182
176	CNC(C)C	0	0.94	0.000032	3,42,142,168
177	CCS	0	0.94	0.000032	
178	CCCCC(CC)COC=O	0	0.94	0.000126	3,5,7,11,14,27,29,30,64,71,92,96,135,158,159,174,182
179	CCCCCCC(=O)O	0	0.94	0.000126	3,5,6,7,11,27,30,56,64,71,117,119,143,169,175,182,201,232
180	CCOC(=O)C(=C)C	0	0.94	0.000126	3,5,6,7,23,29,56,69,92,102,118,120,137,144,151,153,156
181	CCCCCCCCCCCCCCCCC	0	0.93	0.000248	3,11,27,64,71,116,133,139,140,141,148,170,171,173
182	CCCCCCO	0	0.93	0.000248	3,7,11,27,30,64
183	CC1OCC(O)C(O)C1(O)	0	0.92	0.000958	3,7,11,27,30,64,92,156,182,205
184	CCCC(=O)OC	0	0.92	0.001880	3,5,6,7,11,30,56,92,117,119
185	O=C(O)CCC(=O)O	0	0.92	0.001880	3,5,6,7,11,30,56,117,119,227
186	O=S(=O)(N)c1ccc(cc1)N	0	0.92	0.001880	2195
187	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	0	0.91	0.003687	2,19,60,136,172
188	CCCOC(=O)C(=C)C	0	0.91	0.003687	3,5,6,7,23,29,56,69,92,102,118,120,137,144,151,153,156,180
189	CCCCCCCCO	0	0.91	0.003687	3,7,11,27,30,64,71,116,182,201
190	CCCCOC(=O)C=C	0	0.90	0.007207	3,5,6,7,11,23,29,30,69,92,102,120,151,153,156,174,205
191	CNc1c2ccccc2(ns1)	0	0.90	0.007207	2
192	O=S(=O)c2cccc1cccnc12	0	1.00	0.000007	2,54
193	Oc1cc(c(cc1Cl)Cl)Cl	0	1.00	0.000007	2,19,21,60,136,138,172
194	CC(C)NCCO	0	1.00	0.000007	3,7,42,142,168,176
195	O=S(=O)c1ccc(cc1)N	0	1.00	0.000007	2
196	O=S(=O)(N)c2cccc1cccnc12	0	1.00	0.000035	2,54,192
197	CC(C)NCC(O)CO	0	1.00	0.000078	3,7,42,104,142,168,176,194,199
198	O=Cc1ccccc1(N)	0	1.00	0.000078	2,8,25
199	CC(C)NCC(C)O	0	1.00	0.000078	3,7,42,104,142,168,176,194
