No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
232	COC1=C(C=CC=C1)[N+]([O-])=O	12.72	0.707	11.32	0.629	11.63	0.646	18.73	1.041	18	11	18	11	7	1	0	6	15	7	7	1	3	0	0	0	0	0	0	0	38.889	38.889	5.556	16.667	0	4	0
233	COC1=CC(OC)=C(C=C1)C(O)=O	15.12	0.657	14.04	0.61	14.6	0.635	23.72	1.031	23	13	23	13	7	1	0	6	17	10	9	0	4	0	0	0	0	0	0	0	43.478	39.13	0	17.391	0	4	0
234	CC1=CC2=CC=CC=C2C=C1	11.8	0.562	14	0.667	14.8	0.705	20.4	0.971	21	11	22	12	11	0	0	11	17.5	10	11	0	0	0	0	0	0	0	0	0	47.619	52.381	0	0	0	0	0
235	ClC1=CC=C2C=CC=CC2=C1	13.51	0.751	13.1	0.728	13.9	0.772	17.85	0.992	18	11	19	12	11	0	0	11	17.5	7	10	0	0	0	0	0	1	0	0	0	38.889	55.556	0	0	5.556	1	1
236	NC1=CC2=C(C=CC=C2)C=C1	11.89	0.595	13.39	0.67	14.04	0.702	19.62	0.981	20	11	21	12	11	0	0	11	17.5	9	10	1	0	0	0	0	0	0	0	0	45	50	5	0	0	1	0
237	CC1=CC2=CC=CN=C2C=C1	11.89	0.595	13.39	0.67	14.04	0.702	19.62	0.981	20	11	21	12	11	0	0	11	17.5	9	10	1	0	0	0	0	0	0	0	0	45	50	5	0	0	1	0
238	CC1=NC2=CC=CC=C2C=C1	11.89	0.595	13.39	0.67	14.04	0.702	19.62	0.981	20	11	21	12	11	0	0	11	17.5	9	10	1	0	0	0	0	0	0	0	0	45	50	5	0	0	1	0
239	O=C1OC2=C(C=CC=C2)C=C1	12.14	0.714	11.82	0.695	12.18	0.716	17.3	1.018	17	11	18	12	8	2	0	6	17	6	9	0	2	0	0	0	0	0	0	0	35.294	52.941	0	11.765	0	2	0
240	CCN(CC)C1=CC=CC=C1	12.37	0.476	15.19	0.584	16.32	0.628	25.26	0.972	26	11	26	11	6	0	0	6	14	15	10	1	0	0	0	0	0	0	0	0	57.692	38.462	3.846	0	0	1	0
241	C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1	19.12	0.597	22.2	0.694	23.32	0.729	31.16	0.974	32	18	34	20	18	0	0	18	29	14	18	0	0	0	0	0	0	0	0	0	43.75	56.25	0	0	0	0	0
242	C1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1	18.96	0.632	21.6	0.72	22.56	0.752	29.28	0.976	30	18	33	21	21	0	0	21	31.5	12	18	0	0	0	0	0	0	0	0	0	40	60	0	0	0	0	0
243	C1CCC(CC1)C1CCCCC1	13.76	0.405	18.6	0.547	20.36	0.599	32.68	0.961	34	12	35	13	0	0	0	0	13	22	12	0	0	0	0	0	0	0	0	0	64.706	35.294	0	0	0	0	0
244	C1=CC=C(C=C1)C1=CC=CC=C1	12.8	0.582	15	0.682	15.8	0.718	21.4	0.973	22	12	23	13	12	0	0	12	19	10	12	0	0	0	0	0	0	0	0	0	45.455	54.545	0	0	0	0	0
245	C1CN(CCN1)C1=CC=CC=C1	13.46	0.518	15.58	0.599	16.56	0.637	25.48	0.98	26	12	27	13	6	0	0	6	16	14	10	2	0	0	0	0	0	0	0	0	53.846	38.462	7.692	0	0	2	0
246	C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1	19.12	0.597	22.2	0.694	23.32	0.729	31.16	0.974	32	18	34	20	18	0	0	18	29	14	18	0	0	0	0	0	0	0	0	0	43.75	56.25	0	0	0	0	0
247	COC1=C(OC)C=C(C=C1)C(O)=O	15.12	0.657	14.04	0.61	14.6	0.635	23.72	1.031	23	13	23	13	7	1	0	6	17	10	9	0	4	0	0	0	0	0	0	0	43.478	39.13	0	17.391	0	4	0
248	CC(=O)C1=CC2=CC=CC=C2C=C1	14.13	0.614	15.51	0.674	16.25	0.707	22.73	0.988	23	13	24	14	12	1	0	11	20.5	10	12	0	1	0	0	0	0	0	0	0	43.478	52.174	0	4.348	0	1	0
249	OC(=O)C1=CC=C2C=CC=CC2=C1	14.3	0.681	14.42	0.687	14.94	0.711	21.18	1.009	21	13	22	14	12	1	0	11	20.5	8	11	0	2	0	0	0	0	0	0	0	38.095	52.381	0	9.524	0	2	0
250	COC1=CC=C(CC=C)C=C1OC	14.78	0.547	16.22	0.601	17.22	0.638	26.82	0.993	27	13	27	13	7	1	0	6	17	14	11	0	2	0	0	0	0	0	0	0	51.852	40.741	0	7.407	0	2	0
251	COC1=C(OC(C)=O)C=CC(CC=C)=C1	17.11	0.59	17.73	0.611	18.67	0.644	29.15	1.005	29	15	29	15	8	2	0	6	20	14	12	0	3	0	0	0	0	0	0	0	48.276	41.379	0	10.345	0	3	0
252	BrC[C@H](Br)C1=CC=CC=C1	21.94	1.219	13.16	0.731	14.5	0.806	17.86	0.992	18	10	18	10	6	0	0	6	13	8	8	0	0	0	0	0	0	2	0	0	44.444	44.444	0	0	11.111	2	2
253	C[C@H](C=O)C1=CC=CC=C1	11.13	0.556	12.51	0.626	13.25	0.663	19.73	0.987	20	10	20	10	7	1	0	6	14	10	9	0	1	0	0	0	0	0	0	0	50	45	0	5	0	1	0
254	CCC(=O)C1=CC=CC=C1	11.13	0.556	12.51	0.626	13.25	0.663	19.73	0.987	20	10	20	10	7	1	0	6	14	10	9	0	1	0	0	0	0	0	0	0	50	45	0	5	0	1	0
255	COC(=O)C1=CC=CC=C1	11.3	0.628	11.42	0.634	11.94	0.663	18.18	1.01	18	10	18	10	7	1	0	6	14	8	8	0	2	0	0	0	0	0	0	0	44.444	44.444	0	11.111	0	2	0
256	CCCCOC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl	25.88	0.835	20.43	0.659	22.01	0.71	32.02	1.033	31	18	31	18	7	1	0	6	22	13	12	0	3	0	0	0	3	0	0	0	41.935	38.71	0	9.677	9.677	6	3
257	CCOC(=O)C1=CC=CC=C1	12.46	0.593	13.02	0.62	13.7	0.652	21.06	1.003	21	11	21	11	7	1	0	6	15	10	9	0	2	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	2	0
258	O=C(OC(=O)C1=CC=CC=C1)C1=CC=CC=C1	18.79	0.696	18.53	0.686	19.15	0.709	27.39	1.014	27	17	28	18	14	2	0	12	26	10	14	0	3	0	0	0	0	0	0	0	37.037	51.852	0	11.111	0	3	0
259	CCOC(=O)CC(=O)C1=CC=CC=C1	15.95	0.613	16.13	0.62	16.91	0.65	26.27	1.01	26	14	26	14	8	2	0	6	19	12	11	0	3	0	0	0	0	0	0	0	46.154	42.308	0	11.538	0	3	0
260	CC(C)CCOC(=O)C1=CC=CC=C1	15.94	0.531	17.82	0.594	18.98	0.633	29.7	0.99	30	14	30	14	7	1	0	6	18	16	12	0	2	0	0	0	0	0	0	0	53.333	40	0	6.667	0	2	0
261	CC1=C(OCC(O)=O)C=CC(Cl)=C1	16.66	0.757	14.23	0.647	15.01	0.682	22.72	1.033	22	13	22	13	7	1	0	6	17	9	9	0	3	0	0	0	1	0	0	0	40.909	40.909	0	13.636	4.545	4	1
262	CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1	23.01	0.742	19.73	0.636	21.15	0.682	31.69	1.022	31	17	31	17	7	1	0	6	21	14	12	0	3	0	0	0	2	0	0	0	45.161	38.71	0	9.677	6.452	5	2
263	ClCC1=C(Cl)C=C(Cl)C=C1	16.25	1.083	11.5	0.767	12.62	0.841	15.51	1.034	15	10	15	10	6	0	0	6	13	5	7	0	0	0	0	0	3	0	0	0	33.333	46.667	0	0	20	3	3
264	C1C=CC2=C1C=CC=C2	9.64	0.567	11.4	0.671	12.04	0.708	16.52	0.972	17	9	18	10	7	1	0	6	14	8	9	0	0	0	0	0	0	0	0	0	47.059	52.941	0	0	0	0	0
265	S1C=CC2=C1C=CC=C2	11.15	0.743	10.89	0.726	11.93	0.795	14.72	0.981	15	9	16	10	10	0	0	10	15	6	8	0	0	0	1	0	0	0	0	0	40	53.333	0	0	0	1	0
266	CC1=C(Br)C=CC=C1	14.21	0.947	10.48	0.699	11.39	0.759	14.75	0.983	15	8	15	8	6	0	0	6	11	7	7	0	0	0	0	0	0	1	0	0	46.667	46.667	0	0	6.667	1	1
267	CC1=C(O)C=CC=C1	8.97	0.561	9.91	0.619	10.49	0.656	15.85	0.991	16	8	16	8	6	0	0	6	11	8	7	0	1	0	0	0	0	0	0	0	50	43.75	0	6.25	0	1	0
268	CC1=C(Cl)C=CC=C1	10.51	0.701	10.1	0.673	10.9	0.727	14.85	0.99	15	8	15	8	6	0	0	6	11	7	7	0	0	0	0	0	1	0	0	0	46.667	46.667	0	0	6.667	1	1
269	CC1=C(N)C=CC=C1	8.89	0.523	10.39	0.611	11.04	0.649	16.62	0.978	17	8	17	8	6	0	0	6	11	9	7	1	0	0	0	0	0	0	0	0	52.941	41.176	5.882	0	0	1	0
270	NC1=C(N)C=CC=C1	8.98	0.561	9.78	0.611	10.28	0.643	15.84	0.99	16	8	16	8	6	0	0	6	11	8	6	2	0	0	0	0	0	0	0	0	50	37.5	12.5	0	0	2	0
271	CC1=C(C)C=C(O)C=C1	10.13	0.533	11.51	0.606	12.25	0.645	18.73	0.986	19	9	19	9	6	0	0	6	12	10	8	0	1	0	0	0	0	0	0	0	52.632	42.105	0	5.263	0	1	0
272	CC1=CC(C)=C(N)C=C1	10.05	0.503	11.99	0.6	12.8	0.64	19.5	0.975	20	9	20	9	6	0	0	6	12	11	8	1	0	0	0	0	0	0	0	0	55	40	5	0	0	1	0
273	CC1=CC=C(Cl)C=C1Cl	13.38	0.892	10.8	0.72	11.76	0.784	15.18	1.012	15	9	15	9	6	0	0	6	12	6	7	0	0	0	0	0	2	0	0	0	40	46.667	0	0	13.333	2	2
274	CC1=CC(Cl)=C(Cl)C=C1	13.38	0.892	10.8	0.72	11.76	0.784	15.18	1.012	15	9	15	9	6	0	0	6	12	6	7	0	0	0	0	0	2	0	0	0	40	46.667	0	0	13.333	2	2
275	NC1=CC(Cl)=C(Cl)C=C1	13.47	0.962	10.19	0.728	11	0.786	14.4	1.029	14	9	14	9	6	0	0	6	12	5	6	1	0	0	0	0	2	0	0	0	35.714	42.857	7.143	0	14.286	3	2
276	CC1=C(N)C=C(N)C=C1	10.14	0.534	11.38	0.599	12.04	0.634	18.72	0.985	19	9	19	9	6	0	0	6	12	10	7	2	0	0	0	0	0	0	0	0	52.632	36.842	10.526	0	0	2	0
277	CC1=CC(O)=C(C)C=C1	10.13	0.533	11.51	0.606	12.25	0.645	18.73	0.986	19	9	19	9	6	0	0	6	12	10	8	0	1	0	0	0	0	0	0	0	52.632	42.105	0	5.263	0	1	0
278	CCOC(=O)C(=O)OCC	12.12	0.606	11.04	0.552	11.6	0.58	20.72	1.036	20	10	19	9	2	2	0	0	11	10	6	0	4	0	0	0	0	0	0	0	50	30	0	20	0	4	0
279	ClC1=CC(Cl)=C(Cl)C=C1Cl	17.96	1.497	10.6	0.883	11.72	0.977	12.96	1.08	12	10	12	10	6	0	0	6	13	2	6	0	0	0	0	0	4	0	0	0	16.667	50	0	0	33.333	4	4
280	OC1=C(Cl)C=C(Cl)C(Cl)=C1	16.42	1.263	10.41	0.801	11.31	0.87	13.96	1.074	13	10	13	10	6	0	0	6	13	3	6	0	1	0	0	0	3	0	0	0	23.077	46.154	0	7.692	23.077	4	3
281	OCC(Br)CBr	18.11	1.509	8.07	0.672	9.19	0.766	12.31	1.026	12	6	11	5	0	0	0	0	5	6	3	0	1	0	0	0	0	2	0	0	50	25	0	8.333	16.667	3	2
282	CCC(C)CC	7.12	0.356	10.2	0.51	11.32	0.566	19.16	0.958	20	6	19	5	0	0	0	0	5	14	6	0	0	0	0	0	0	0	0	0	70	30	0	0	0	0	0
283	ClCC(Cl)CCl	12.25	1.114	7.5	0.682	8.62	0.784	11.51	1.046	11	6	10	5	0	0	0	0	5	5	3	0	0	0	0	0	3	0	0	0	45.455	27.273	0	0	27.273	3	3
284	COC(=O)C=C	7.14	0.595	6.82	0.568	7.18	0.598	12.3	1.025	12	6	11	5	2	2	0	0	7	6	4	0	2	0	0	0	0	0	0	0	50	33.333	0	16.667	0	2	0
285	COC(=O)CCl	9.01	0.819	6.52	0.593	7.04	0.64	11.63	1.057	11	6	10	5	1	1	0	0	6	5	3	0	2	0	0	0	1	0	0	0	45.455	27.273	0	18.182	9.091	3	1
286	CC1CCCC1	6.96	0.387	9.6	0.533	10.56	0.587	17.28	0.96	18	6	18	6	0	0	0	0	6	12	6	0	0	0	0	0	0	0	0	0	66.667	33.333	0	0	0	0	0
287	OC1CCCC1	7.13	0.446	8.51	0.532	9.25	0.578	15.73	0.983	16	6	16	6	0	0	0	0	6	10	5	0	1	0	0	0	0	0	0	0	62.5	31.25	0	6.25	0	1	0
288	ClC1=CC=CS1	9.86	1.096	6.99	0.777	8.03	0.892	9.17	1.019	9	6	9	6	5	0	0	5	8.5	3	4	0	0	0	1	0	1	0	0	0	33.333	44.444	0	0	11.111	2	1
289	CC1CCCO1	7.13	0.446	8.51	0.532	9.25	0.578	15.73	0.983	16	6	16	6	0	0	0	0	6	10	5	0	1	0	0	0	0	0	0	0	62.5	31.25	0	6.25	0	1	0
290	O=C1CCCO1	7.14	0.595	6.82	0.568	7.18	0.598	12.3	1.025	12	6	12	6	1	1	0	0	7	6	4	0	2	0	0	0	0	0	0	0	50	33.333	0	16.667	0	2	0
291	O=C1OCCO1	7.31	0.731	5.73	0.573	5.87	0.587	10.75	1.075	10	6	10	6	1	1	0	0	7	4	3	0	3	0	0	0	0	0	0	0	40	30	0	30	0	3	0
292	CN1C=CC=C1	6.73	0.518	7.79	0.599	8.28	0.637	12.74	0.98	13	6	13	6	5	0	0	5	8.5	7	5	1	0	0	0	0	0	0	0	0	53.846	38.462	7.692	0	0	1	0
293	CC(OP(C)(F)=O)C(C)(C)C	15.1	0.559	14.41	0.534	16.35	0.606	27.071	1.003	27	11	26	10	1	1	0	0	11	16	7	0	2	1	0	1	0	0	0	0	59.259	25.926	0	7.407	3.704	4	1
294	CCC1=CC(=C(O)C=C1)C(C)(C)C	14.77	0.476	17.91	0.578	19.29	0.622	30.25	0.976	31	13	31	13	6	0	0	6	16	18	12	0	1	0	0	0	0	0	0	0	58.065	38.71	0	3.226	0	1	0
295	CCOP(=S)(OCC)OC1=CC=C(Cl)C=C1Cl	26.18	0.873	19.7	0.657	22.48	0.749	30.75	1.025	30	17	30	17	7	1	0	6	21	13	10	0	3	1	1	0	2	0	0	0	43.333	33.333	0	10	6.667	7	2
296	COC1=C(O)C=CC(CC=C)=C1	13.62	0.568	14.62	0.609	15.46	0.644	23.94	0.998	24	12	24	12	7	1	0	6	16	12	10	0	2	0	0	0	0	0	0	0	50	41.667	0	8.333	0	2	0
297	COC1=CC(\\C=C\\C)=CC=C1O	13.62	0.568	14.62	0.609	15.46	0.644	23.94	0.998	24	12	24	12	7	1	0	6	16	12	10	0	2	0	0	0	0	0	0	0	50	41.667	0	8.333	0	2	0
298	CC1=C(N)C=CC(=C1)\\N=N\\C1=C(C)C=CC=C1	18.71	0.585	20.57	0.643	21.56	0.674	31.58	0.987	32	17	33	18	13	1	0	12	25	15	14	3	0	0	0	0	0	0	0	0	46.875	43.75	9.375	0	0	3	0
299	CCOC(=O)C(C)C	9.62	0.481	10.62	0.531	11.46	0.573	19.94	0.997	20	8	19	7	1	1	0	0	8	12	6	0	2	0	0	0	0	0	0	0	60	30	0	10	0	2	0
300	CCOC(=O)C(C)=C	9.46	0.526	10.02	0.557	10.7	0.594	18.06	1.003	18	8	17	7	2	2	0	0	9	10	6	0	2	0	0	0	0	0	0	0	55.556	33.333	0	11.111	0	2	0
301	CCOC(=O)C(C)O	9.79	0.544	9.53	0.529	10.15	0.564	18.39	1.022	18	8	17	7	1	1	0	0	8	10	5	0	3	0	0	0	0	0	0	0	55.556	27.778	0	16.667	0	3	0
