No.	Mols	MW	AMW	Sv	Mv	Sp	Mp	Se	Me	nAt	nSk	nBt	nBo	nBm	nDblBo	nTrpBo	nArBo	SCBO	nH	nC	nN	nO	nP	nS	nF	nCl	nBr	nI	nB	HPerc	CPerc	NPerc	OPerc	XPerc	nHet	nX
214	O=C1C(=C(O)C(=O)C2=C1C(OCC)C(O)C3C2(C)CCCC3(C)(C))C(C)COC(=O)C	36.03	0.554	37.77	0.581	40.07	0.616	65.27	1.004	65	31	67	33	5	5	0	0	38	34	24	0	7	0	0	0	0	0	0	0	52.308	36.923	0	10.769	0	7	0
215	O=C5C=C1C7(C)(CCCC(C)(C)C7(CCC16(C2C(=O)C(O)(C(C3=C2C4(C)(CCCC(C)(C)C4(CC3)))C6(C5(O)C(C)C))C(C)C)))	50.12	0.482	60.04	0.577	64.6	0.621	101.72	0.978	104	44	110	50	4	4	0	0	54	60	40	0	4	0	0	0	0	0	0	0	57.692	38.462	0	3.846	0	4	0
216	O=C(OC)C12(c3c(OC)c(OC)c(cc3(C=CC1C(C)(C)CCC2))C(C)C)	30.88	0.523	34.64	0.587	36.96	0.626	58.4	0.99	59	27	61	29	8	2	0	6	34	32	23	0	4	0	0	0	0	0	0	0	54.237	38.983	0	6.78	0	4	0
217	O=CC23(C=1C(=O)C(O)=C(C(=O)C=1C(OC(=O)C)CC2C(C)(C)CCC3)C(C)C)	32.22	0.575	33.46	0.598	35.34	0.631	56.3	1.005	56	28	58	30	6	6	0	0	36	28	22	0	6	0	0	0	0	0	0	0	50	39.286	0	10.714	0	6	0
218	O=C(O)C2(C)(CC(O)CC3(c1ccc(c(O)c1CCC23)C(C)C)(C))	27.56	0.53	30.44	0.585	32.44	0.624	51.64	0.993	52	24	54	26	7	1	0	6	30	28	20	0	4	0	0	0	0	0	0	0	53.846	38.462	0	7.692	0	4	0
219	O=C1C(O)=C3C(C=C1C(O)(C)C)=CC2Oc5c(OC24(C3(C)CCCC4(C)(C)))c7c(cc5C(O)(C)C)C(O)CC6C(=CCCC6(C)(C))C7	53.47	0.54	59.17	0.598	62.91	0.635	98.19	0.992	99	47	105	53	11	5	0	6	61	52	40	0	7	0	0	0	0	0	0	0	52.525	40.404	0	7.071	0	7	0
220	O=C(OC3CCC2(C7=C(O)C(=O)C(=CC7(=CC1Oc4c(OC12C3(C)(C))c6c(cc4C(O)(C)C)C(O)CC5C(=CCCC5(C)(C))C6))C(O)(C)C)(C))C	58.29	0.555	62.79	0.598	66.57	0.634	104.73	0.997	105	51	111	57	12	6	0	6	66	54	42	0	9	0	0	0	0	0	0	0	51.429	40	0	8.571	0	9	0
221	O=C(OCC3(C2=CC=C1C=C(C(=O)C(O)=C1C2(C)CCC3)C(C)C)(C))C=C(C)C	32.88	0.539	36.64	0.601	38.96	0.639	60.4	0.99	61	29	63	31	7	7	0	0	38	32	25	0	4	0	0	0	0	0	0	0	52.459	40.984	0	6.557	0	4	0
222	O=C(OCC3(C2=CC=C1C=C(C(=O)C(O)=C1C2(C)CCC3)C(C)C)(C))c4ccc(O)c(OC)c4	38.54	0.584	40.66	0.616	42.86	0.649	66.06	1.001	66	34	69	37	12	6	0	6	46	32	28	0	6	0	0	0	0	0	0	0	48.485	42.424	0	9.091	0	6	0
223	O=C(OCC3(C2=CC=C1C=C(C(=O)C(O)=C1C2(C)CCC3)C(C)C)(C))c4ccc(O)cc4	36.05	0.581	38.55	0.622	40.65	0.656	61.85	0.998	62	32	65	35	12	6	0	6	44	30	27	0	5	0	0	0	0	0	0	0	48.387	43.548	0	8.065	0	5	0
224	O=C(OC2CC1(C3=C(O)C(=O)C(=CC3(=CC=C1C(C)(C)C2))C(C)C)C)c4ccc(O)cc4	36.05	0.581	38.55	0.622	40.65	0.656	61.85	0.998	62	32	65	35	12	6	0	6	44	30	27	0	5	0	0	0	0	0	0	0	48.387	43.548	0	8.065	0	5	0
225	O=C(OCC3(C2=CC=C1C=C(C(=O)C(O)=C1C2(C)CCC3)C(C)C)(C))c4ccc(O)c(O)c4	37.38	0.593	39.06	0.62	41.1	0.652	63.18	1.003	63	33	66	36	12	6	0	6	45	30	27	0	6	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	6	0
226	O=C(OC2CC1(C3=C(O)C(=O)C(=CC3(=CC=C1C(C)(C)C2))C(C)C)C)c4ccc(O)c(O)c4	37.38	0.593	39.06	0.62	41.1	0.652	63.18	1.003	63	33	66	36	12	6	0	6	45	30	27	0	6	0	0	0	0	0	0	0	47.619	42.857	0	9.524	0	6	0
227	O=C(OC2CC1(C3=C(O)C(=O)C(=CC3(=CC=C1C(C)(C)C2))C(C)C)C)c4ccc(O)c(OC)c4	38.54	0.584	40.66	0.616	42.86	0.649	66.06	1.001	66	34	69	37	12	6	0	6	46	32	28	0	6	0	0	0	0	0	0	0	48.485	42.424	0	9.091	0	6	0
228	O=C(OCC3(C2=CC=C1C=C(C(=O)C(O)=C1C2(C)CC(O)C3)C(C)C)(C))C=C(C)C	34.21	0.552	37.15	0.599	39.41	0.636	61.73	0.996	62	30	64	32	7	7	0	0	39	32	25	0	5	0	0	0	0	0	0	0	51.613	40.323	0	8.065	0	5	0
229	O=C(OCC3(C)(CCCC2(c1cc(O)c(cc1CCC23)C(C)C)(C)))C	28.55	0.501	33.13	0.581	35.51	0.623	56.07	0.984	57	25	59	27	7	1	0	6	31	32	22	0	3	0	0	0	0	0	0	0	56.14	38.596	0	5.263	0	3	0
230	O=C(OCC2(C)(CCCC1(c3ccc(cc3(C(=O)CC12))C(C)C)(C)))C	28.39	0.516	32.53	0.591	34.75	0.632	54.19	0.985	55	25	57	27	8	2	0	6	32	30	22	0	3	0	0	0	0	0	0	0	54.545	40	0	5.455	0	3	0
231	O=C2OC3C(c1cc(c(O)c(O)c1C24(CCCC(C)(C)C34))C(C)C)C	28.56	0.539	31.44	0.593	33.44	0.631	52.64	0.993	53	25	56	28	7	1	0	6	32	28	21	0	4	0	0	0	0	0	0	0	52.83	39.623	0	7.547	0	4	0
232	O=C2OC3C(O)c1cc(c(OC)c(OC)c1C24(CCCC(C)(C)C34))C(C)C	31.05	0.545	33.55	0.589	35.65	0.625	56.85	0.997	57	27	60	30	7	1	0	6	34	30	22	0	5	0	0	0	0	0	0	0	52.632	38.596	0	8.772	0	5	0
233	O=C(OC2c1cc(c(O)c(O)c1C34(C(=O)OC2C3C(C)(C)CCC4))C(C)C)C67(c5c(O)c(O)c(cc5CCC6C(C)(C)CCC7)C(C)C)	54.8	0.548	59.68	0.597	63.36	0.634	99.52	0.995	100	48	106	54	14	2	0	12	62	52	40	0	8	0	0	0	0	0	0	0	52	40	0	8	0	8	0
234	O=C2OC3C(N)c1cc(c(O)c(O)c1C24(CCCC(C)(C)C34))C(C)C	28.65	0.551	30.83	0.593	32.68	0.628	51.86	0.997	52	25	55	28	7	1	0	6	32	27	20	1	4	0	0	0	0	0	0	0	51.923	38.462	1.923	7.692	0	5	0
235	O=C1C(O)=C(C(=O)C3=C1C24(COC(=O)C(C)(CCC2)C4(CC3(OC(=O)C))))C(C)C	33.39	0.607	33.37	0.607	35.03	0.637	55.75	1.014	55	29	58	32	6	6	0	0	38	26	22	0	7	0	0	0	0	0	0	0	47.273	40	0	12.727	0	7	0
236	O=C1C(=C(O)C(=O)C2=C1C(O)CC3C2(C)CCCC3(C)(C))C(C)C	27.56	0.53	30.44	0.585	32.44	0.624	51.64	0.993	52	24	54	26	4	4	0	0	30	28	20	0	4	0	0	0	0	0	0	0	53.846	38.462	0	7.692	0	4	0
237	O=C1C=C(C(=O)C2=C1C3(C)(CC(O)CC(C(=O)O)(C)C3(CC2)))C(C)C	28.73	0.563	30.35	0.595	32.13	0.63	51.09	1.002	51	25	53	27	5	5	0	0	32	26	20	0	5	0	0	0	0	0	0	0	50.98	39.216	0	9.804	0	5	0
238	OCC(O)C=CC=CC#CC#CC=CC	16.78	0.579	18.22	0.628	19.22	0.663	28.82	0.994	29	15	28	14	5	3	2	0	21	14	13	0	2	0	0	0	0	0	0	0	48.276	44.828	0	6.897	0	2	0
239	OC(CC)CCC=CC#CC#CC#CC	16.61	0.536	19.31	0.623	20.53	0.662	30.37	0.98	31	15	30	14	4	1	3	0	21	16	14	0	1	0	0	0	0	0	0	0	51.613	45.161	0	3.226	0	1	0
240	O=C(O)CCCCCCCC#CC#CC#CC#CC(O)C	23.59	0.575	25.53	0.623	26.95	0.657	40.79	0.995	41	21	40	20	5	1	4	0	29	20	18	0	3	0	0	0	0	0	0	0	48.78	43.902	0	7.317	0	3	0
241	OCC(O)CC#CC#CC#CC	13.46	0.612	14.02	0.637	14.7	0.668	22.06	1.003	22	12	21	11	3	0	3	0	17	10	10	0	2	0	0	0	0	0	0	0	45.455	45.455	0	9.091	0	2	0
242	OC1CCCOC1(C=CC#CC#CC#CC)	17.78	0.593	19.22	0.641	20.22	0.674	29.82	0.994	30	16	30	16	4	1	3	0	23	14	14	0	2	0	0	0	0	0	0	0	46.667	46.667	0	6.667	0	2	0
243	O=C(O)C(O)CC#CC#CC#CCO	15.96	0.725	14.44	0.656	14.84	0.675	22.84	1.038	22	14	21	13	4	1	3	0	20	8	10	0	4	0	0	0	0	0	0	0	36.364	45.455	0	18.182	0	4	0
244	O=C(O)CCC(O)C=C=CC#CC#CC	16.95	0.628	17.13	0.634	17.91	0.663	27.27	1.01	27	15	26	14	5	3	2	0	21	12	12	0	3	0	0	0	0	0	0	0	44.444	44.444	0	11.111	0	3	0
245	C(#CC#CC)C#CC=CC1OC1(C=C)	15.13	0.63	16.51	0.688	17.25	0.719	23.73	0.989	24	14	24	14	5	2	3	0	22	10	13	0	1	0	0	0	0	0	0	0	41.667	54.167	0	4.167	0	1	0
246	C(#CC#CC=CC1OC1)C#CC=CC	15.13	0.63	16.51	0.688	17.25	0.719	23.73	0.989	24	14	24	14	5	2	3	0	22	10	13	0	1	0	0	0	0	0	0	0	41.667	54.167	0	4.167	0	1	0
247	O=C(O)CC(O)CCCCC=CCC#CC#CC=CC	22.75	0.542	25.13	0.598	26.71	0.636	41.67	0.992	42	20	41	19	5	3	2	0	26	22	17	0	3	0	0	0	0	0	0	0	52.381	40.476	0	7.143	0	3	0
248	OC(CC)CCCCCC#CC#CC=CC=CCl	21.96	0.563	23.81	0.611	25.67	0.658	38.34	0.983	39	18	38	17	4	2	2	0	23	21	16	0	1	0	0	0	1	0	0	0	53.846	41.026	0	2.564	2.564	2	1
249	C(C#CC=C1OCC=C1)#CC=CC=C	15.13	0.63	16.51	0.688	17.25	0.719	23.73	0.989	24	14	24	14	6	4	2	0	22	10	13	0	1	0	0	0	0	0	0	0	41.667	54.167	0	4.167	0	1	0
250	C(C#CCC=CCCCCCCC)#CC=CC	18.92	0.461	24.2	0.59	26.12	0.637	39.56	0.965	41	17	40	16	4	2	2	0	22	24	17	0	0	0	0	0	0	0	0	0	58.537	41.463	0	0	0	0	0
